IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Section,Before/After Construction
31566744,HARDIN,US0031W,,DIXIE,AVE,37.74114225,-85.89035341,20.421,4/18/2023,1623,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31585817,HARDIN,US0031W,,DIXIE,AVE,37.7362685,-85.8882181,20.137,4/25/2023,1148,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31675025,HARDIN,US0031W,,DIXIE,AVE,37.74081412,-85.89023126,20.401,4/25/2023,2110,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
31789332,HARDIN,US0031W,,DIXIE,AVE,37.7333262,-85.88671385,19.859,4/26/2023,1631,2,2,0,1,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31566347,HARDIN,US0031W,,DIXIE,AVE,37.73936738,-85.88945944,20.306,4/27/2023,1807,2,2,0,0,CLOUDY,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31594209,HARDIN,US0031W,,DIXIE,AVE,37.73139082,-85.88579699,19.72,4/29/2023,2140,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
31632122,HARDIN,US0031W,,DIXIE,AVE,37.73123458,-85.88545369,19.705,5/2/2023,1301,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31690510,HARDIN,US0031W,,DIXIE,AVE,37.73912113,-85.88933601,20.289,5/14/2023,1023,2,1,0,0,CLOUDY,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
31641461,HARDIN,US0031W,,DIXIE,AVE,37.7434871,-85.89143867,20.597,5/15/2023,1700,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
31738064,HARDIN,US0031W,,DIXIE,AVE,37.73412828,-85.88689239,19.924,5/25/2023,635,2,1,0,1,CLOUDY,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
