IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,CollisionYear,Before/After Construction
32181013,HARDIN,US0031W,,DIXIE,AVE,37.70872292,-85.87392559,18.023,9/5/2023,1509,2,2,0,0,CLEAR,DRY,1,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
32127485,HARDIN,US0031W,,DIXIE,AVE,37.70904956,-85.87444163,18.057,8/3/2023,0855,2,1,0,0,RAINING,WET,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31933853,HARDIN,US0031W,,DIXIE,AVE,37.71920439,-85.87949828,18.809,7/19/2023,1620,3,3,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31933870,HARDIN,US0031W,,DIXIE,AVE,37.71253826,-85.87644958,18.321,7/17/2023,1618,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31789370,HARDIN,US0031W,,DIXIE,AVE,37.70645769,-85.8726013,17.825,6/16/2023,1118,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31789351,HARDIN,US0031W,,DIXIE,AVE,37.71048316,-85.87542862,18.169,6/13/2023,0931,2,2,0,0,CLEAR,DRY,1,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31789298,HARDIN,US0031W,,DIXIE,AVE,37.71890557,-85.87933635,18.788,5/31/2023,1440,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31679949,HARDIN,US0031W,,DIXIE,AVE,37.70459103,-85.87136992,17.702,5/23/2023,1219,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31641466,HARDIN,US0031W,,DIXIE,AVE,37.71320584,-85.87676437,18.326,5/15/2023,0921,2,2,0,0,CLEAR,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31789264,HARDIN,US0031W,,DIXIE,AVE,37.70906626,-85.87417646,18.051,5/11/2023,1249,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31632116,HARDIN,US0031W,,DIXIE,AVE,37.7102657,-85.87498421,18.145,5/1/2023,1344,2,2,0,0,CLOUDY,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31566739,HARDIN,US0031W,,DIXIE,AVE,37.71452885,-85.87712385,18.464,4/13/2023,1257,2,2,0,0,CLEAR,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31476069,HARDIN,US0031W,,DIXIE,AVE,37.70423098,-85.87119214,17.678,4/9/2023,1224,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAWN,2023,After
31484085,HARDIN,US0031W,,DIXIE,AVE,37.70877998,-85.87426691,18.029,4/5/2023,1905,2,2,0,0,CLOUDY,WET,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31441954,HARDIN,US0031W,,DIXIE,AVE,37.7042413,-85.8711787,17.678,4/1/2023,1500,2,2,0,0,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31444332,HARDIN,US0031W,,DIXIE,AVE,37.7123811,-85.87637929,18.295,3/26/2023,1455,2,2,0,0,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,2023,After
31415223,HARDIN,US0031W,,DIXIE,AVE,37.70443751,-85.8712213,17.69,3/25/2023,1953,2,2,0,2,CLEAR,DRY,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31354094,HARDIN,US0031W,900,DIXIE,AVE,37.7048245,-85.87172559,17.717,3/7/2023,1419,2,2,0,0,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31294266,HARDIN,US0031W,1112,DIXIE,AVE,37.71784382,-85.87910734,18.718,2/20/2023,0907,2,2,0,0,RAINING,WET,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31317684,HARDIN,US0031W,,DIXIE,AVE,37.70967441,-85.87490263,18.106,1/15/2023,0759,1,1,0,0,CLEAR,DRY,1,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,2023,After
31124469,HARDIN,US0031W,,DIXIE,AVE,37.70544584,-85.87209571,17.77,1/12/2023,1648,2,2,0,0,CLEAR,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT,2023,After
31124471,HARDIN,US0031W,,DIXIE,AVE,37.71031625,-85.87505705,18.15,1/3/2023,1552,2,2,0,0,CLEAR,DRY,1,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,2023,After
30963973,HARDIN,US0031W,,DIXIE,AVE,37.70887402,-85.87409808,18.038,12/19/2022,2148,2,2,0,0,CLOUDY,DRY,0,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,2022,After
31223303,HARDIN,US0031W,,DIXIE,AVE,37.71055222,-85.87515248,18.167,12/9/2022,1152,2,2,0,0,CLOUDY,WET,1,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,2022,After
